type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,latency_mean,latency_std,latency_min,latency_max
DDR4-2600,0,0,114.41215592676986,0.11258185079028596,114.28702856739905,114.50524879052612,1963.5907708025,1.5858888464034089,1962.469378045,1964.71216356
DDR4-2600,0,5,118.73810073937038,0.041486415810339884,118.69034741321117,118.76526945004039,1965.434966375,1.8922141897080351,1964.09696889,1966.77296386
DDR4-2600,0,10,119.11829193315388,0.023766765410582393,119.09987507818289,119.14512062533133,1936.058648835,3.142010682279021,1933.836911775,1938.280385895
DDR4-2600,0,15,118.91315896245739,0.005247365200076684,118.90740342447621,118.91767690779626,1914.29711886,0.3201753059419168,1914.07072073,1914.52351699
DDR4-2600,0,20,119.61318611274828,0.048046231343939504,119.58424846856126,119.66864761599383,1774.68889154,0.28805985944330365,1774.48520246,1774.89258062
DDR4-2600,0,25,119.76831422909811,0.05864079713977122,119.70325865270873,119.81710768895651,1769.83151893,1.114723229888036,1769.043290575,1770.619747285
DDR4-2600,0,30,119.9299980461489,0.015555069753600522,119.91884418989034,119.94776734127404,1768.0223514425002,0.9487342369624207,1767.35149503,1768.693207855
DDR4-2600,0,35,119.7504702078982,0.03536795092857633,119.72101190704345,119.78969524238697,1759.7208360475001,0.4182826771985929,1759.42506553,1760.016606565
DDR4-2600,0,40,119.70664357202787,0.0663934154804335,119.63972862243232,119.77250286405285,1758.6285993425,0.4736837934688532,1758.29365432,1758.963544365
DDR4-2600,0,45,119.88515903252555,0.015984137326019627,119.87504762952987,119.90358680540935,1763.5639566625,0.4544302516244495,1763.24262595,1763.885287375
DDR4-2600,0,50,119.61968963871827,0.025413571706826503,119.60105032219894,119.6486378867558,1752.4512798125,0.8186045204214949,1751.872439005,1753.03012062
DDR4-2600,0,55,119.61527797139786,0.023505194792214787,119.58834646836637,119.63166173432009,1752.32845578,0.4065023100438944,1752.04101524,1752.61589632
DDR4-2600,0,60,119.63269904181611,0.026304372884327472,119.60915880685937,119.66109182564118,1749.2545667949998,1.4469286566354684,1748.23143373,1750.27769986
DDR4-2600,0,65,119.6825398183624,0.006373945556678648,119.67597629464454,119.68870555304773,1752.1464095249999,0.859586997567851,1751.53858973,1752.75422932
DDR4-2600,0,70,119.92055059943458,0.11438839104855411,119.7926004792438,120.01292071304375,1758.8848175624998,6.159407367288545,1754.529458845,1763.24017628
DDR4-2600,0,80,119.63230705030462,0.030991444764455665,119.60432937939575,119.66561963012899,1745.8586134875,1.056891416379791,1745.1112784,1746.605948575
DDR4-2600,0,90,119.63302011702183,0.0016451261907403604,119.63173403947687,119.63487391737064,1742.1057254825,0.42774759844975774,1741.803262255,1742.40818871
DDR4-2600,0,100,119.64917652679252,0.021352468027888986,119.62492855468234,119.66516765356009,1735.9715635425,1.1274854855191194,1735.17431091,1736.768816175
DDR4-2600,0,120,119.74450297561175,0.031195742793217126,119.72095688286673,119.77988450575074,1731.407789,0.5377735797723635,1731.027525655,1731.788052345
DDR4-2600,0,140,119.8122688792203,0.027964612198452254,119.78124378995723,119.83553399842894,1716.980395345,0.22992938170845562,1716.81781072,1717.14297997
DDR4-2600,0,160,119.71164009282518,0.021353294921216386,119.69070738674019,119.7333904861885,1706.547855215,1.7612387098171944,1705.30247138,1707.79323905
DDR4-2600,0,180,119.7556785598772,0.03314179708436275,119.71848897715668,119.78208871538676,1700.2980603075,0.516016098569599,1699.933181825,1700.66293879
DDR4-2600,0,200,120.14481960150205,0.03482085092472816,120.10646566296086,120.17444756153455,1696.906902135,0.36106093420789004,1696.6515935,1697.16221077
DDR4-2600,0,220,119.77500844995352,0.026965580853656832,119.75849020269509,119.80612590207382,1682.2990680275002,0.15802561292432776,1682.187327045,1682.41080901
DDR4-2600,0,260,120.12546248213022,0.028606384002033837,120.09302227063773,120.14707236657452,1658.8927005175,0.08691352442810064,1658.831243375,1658.95415766
DDR4-2600,0,300,120.10595746963504,0.04540466583468525,120.06599191447238,120.15532816105804,1638.1696810075,1.3086480035548924,1637.24432713,1639.095034885
DDR4-2600,0,340,119.98127593840155,0.009264879202079659,119.97101403314329,119.98902566211306,1619.8363210725,2.0140588810507802,1618.41216638,1621.260475765
DDR4-2600,0,380,120.55570045222862,0.04876393584324729,120.5019195298616,120.59703496862312,1613.27669647,0.23540241647898125,1613.110241825,1613.443151115
DDR4-2600,0,450,120.36540054267614,0.03493193022562611,120.34454272545183,120.40572850386134,1575.8953956300002,0.35655778124048537,1575.643271205,1576.147520055
DDR4-2600,0,550,116.03305625413945,0.04474253375086233,115.98218126071379,116.06628448954648,1541.5688196725,6.036703056838409,1537.300226005,1545.83741334
DDR4-2600,0,600,121.60534541416617,0.0852942819192974,121.51205185453308,121.67932986627517,1513.5813712724998,0.2977053439464428,1513.370861805,1513.79188074
DDR4-2600,0,700,122.43509495791493,0.029720379320653606,122.40661911911616,122.46592039974816,1461.4753687625,11.748506871281736,1453.167919885,1469.78281764
DDR4-2600,0,800,123.90243037737908,0.024118364713854847,123.87498212551417,123.92023379475003,1339.5279326374998,1.0566309748102198,1338.78078171,1340.275083565
DDR4-2600,0,900,123.4311694599365,0.03350754254190939,123.39848216254545,123.46544104351449,1182.67488549,1.7460824699322286,1181.440218735,1183.909552245
DDR4-2600,0,1000,118.48128028856952,0.05320462474434236,118.42864472560812,118.53503627749876,878.868825195,0.05449747623037509,878.83028966,878.90736073
DDR4-2600,0,1500,80.49228853139829,0.004926274650690423,80.48664889327115,80.4957518124112,456.56086017999996,0.4533886515159685,456.24026599,456.88145437
DDR4-2600,0,2000,60.80626229241275,0.009630590767204055,60.79930756605465,60.8172544486354,383.5282807675,2.3093764632829665,381.89530501,385.161256525
DDR4-2600,0,3000,40.93424341991125,0.011049921410492158,40.92590641121905,40.94677681981723,312.6678048875,0.057078483156778145,312.627444305,312.70816547
DDR4-2600,0,5000,24.78235901803841,0.03638198659163632,24.742051773008043,24.812766588422605,286.8964402325,0.0713140912259129,286.846013555,286.94686691
DDR4-2600,0,40000,3.2581804393016927,0.06226574911638562,3.1869246323464795,3.3021138225604867,264.552703515,0.2905422143672093,264.347259145,264.758147885
DDR4-2600,0,100000,1.4103357828897372,0.04309036230557758,1.3627667339334424,1.4467563079088455,262.26987555000005,0.4587575153156531,261.945485,262.5942661
DDR4-2600,0,500000,0.3419837356287893,0.011251475379565652,0.3292083005900584,0.3504176429964698,258.7222471125,0.08418156081052369,258.66272176,258.781772465
DDR4-2600,0,1000000,0.21465611967709494,0.001472516750867518,0.21325228680243624,0.21618884627722085,261.758950385,0.13860101134307132,261.66094467,261.8569561
DDR4-2600,4,0,118.7004642458943,0.02393128176936888,118.67322351060774,118.71810493726966,1860.214010425,1.9186225915178579,1858.85733938,1861.57068147
DDR4-2600,4,5,118.79962581909739,0.006178316187414365,118.79520910296078,118.80668608965853,1863.742044005,0.08315951220465793,1863.68324135,1863.80084666
DDR4-2600,4,10,117.34843317348783,0.03834213056519864,117.30423566082194,117.37278001386944,1823.333605415,0.3282169343795433,1823.101520995,1823.565689835
DDR4-2600,4,15,118.89042287042052,0.04160656584364234,118.84270128521908,118.91908929000398,1813.479256,3.153505452540268,1811.24939091,1815.70912109
DDR4-2600,4,20,119.85487307508156,0.09821163950206649,119.77337203926743,119.96391496875893,1637.6564569625,1.9392790508936937,1636.285179595,1639.02773433
DDR4-2600,4,25,120.01336901546647,0.022780311899699115,119.9905065533186,120.03606627861254,1631.7003742425,0.77515833829255,1631.152254525,1632.24849396
DDR4-2600,4,30,119.96244240582577,0.07799628104990688,119.88200662217301,120.03774567051238,1615.7787959925,0.6560030179907744,1615.31493181,1616.242660175
DDR4-2600,4,35,119.86667238674512,0.02356239217850649,119.84265663841674,119.88975361628808,1610.7879515,1.162878255276027,1609.9656724,1611.6102306
DDR4-2600,4,40,119.81346316958859,0.006017588894442932,119.8071026457416,119.81906607023801,1614.131730645,2.528808615014997,1612.343592925,1615.919868365
DDR4-2600,4,45,119.78956042551438,0.017674072398722318,119.77212133215004,119.80746045977224,1610.6098930325,2.3098905652681645,1608.97655375,1612.243232315
DDR4-2600,4,50,119.80325153857301,0.07844777128677996,119.7169840614423,119.87031213677331,1610.84559566,2.496437542343954,1609.080347745,1612.610843575
DDR4-2600,4,55,119.8063224581236,0.06337730458484224,119.76893221052931,119.87949840217033,1609.7083303175,0.14216187734947539,1609.60780669,1609.808853945
DDR4-2600,4,60,120.04961739447462,0.05631372435993478,119.98465746373604,120.08462542236603,1601.2484754175,0.1276311016965904,1601.1582266,1601.338724235
DDR4-2600,4,65,120.03417702666717,0.08744200709443083,119.9377045356271,120.10821828059831,1609.478286185,1.718496728260655,1608.263125495,1610.693446875
DDR4-2600,4,70,120.1163183541994,0.03911183289229397,120.07916189171105,120.15712907166775,1604.53968467,0.9249240389160561,1603.88566461,1605.19370473
DDR4-2600,4,80,119.90715086510056,0.00565727657205394,119.90099697066674,119.91212569684656,1595.2214915099999,1.54780041589115,1594.12703134,1596.31595168
DDR4-2600,4,90,116.58450351962142,0.09756206228319422,116.52316034421375,116.69700491314275,1592.1792258625,0.32570464408990296,1591.9489179,1592.409533825
DDR4-2600,4,100,120.25974598037699,0.04272896321240731,120.21181537530325,120.29384820158552,1591.9512566975,0.3142831018068045,1591.729024985,1592.17348841
DDR4-2600,4,120,120.17892082447888,0.024347946806348053,120.15140944321115,120.19769303175693,1581.1502681725,1.0947768471417954,1580.37614404,1581.924392305
DDR4-2600,4,140,120.56233146120191,0.10495872929816782,120.44851280745253,120.65530074370461,1568.34067688,0.32186799229674246,1568.11308184,1568.56827192
DDR4-2600,4,160,120.71140665397867,0.02389447807525059,120.68511041763527,120.73178851586422,1550.9660277875,0.8563944776258922,1550.360465445,1551.57159013
DDR4-2600,4,180,120.68404619173039,0.05085294309498533,120.6411607417901,120.74022579132946,1531.2333958899999,0.38533419173667804,1530.96092347,1531.50586831
DDR4-2600,4,200,120.73449627559508,0.026995414550951394,120.70349597557866,120.75282281127174,1524.292727775,1.1057558855367478,1523.51084029,1525.07461526
DDR4-2600,4,220,120.81835115983904,0.010074022536006779,120.80682152452174,120.82545260090903,1508.281600255,0.017187375829767856,1508.269446945,1508.293753565
DDR4-2600,4,260,121.35852609540181,0.08188513371474979,121.30786273969645,121.45299599289447,1485.874191515,0.8221431903457936,1485.29284849,1486.45553454
DDR4-2600,4,300,121.8435380276914,0.06405814901458796,121.79183472575353,121.91519931609305,1460.2692961125,0.2842958487300018,1460.06826859,1460.470323635
DDR4-2600,4,340,122.31012053732566,0.015004091528833925,122.29589513832265,122.32579777300897,1421.2826360225,0.8980341574924195,1420.64762998,1421.917642065
DDR4-2600,4,380,122.76447258902452,0.059653144666525285,122.70513742328359,122.82443870731302,1410.834598095,2.7790431760568386,1408.86951782,1412.79967837
DDR4-2600,4,450,123.32191526978596,0.012445461358831244,123.30755012047119,123.32944622972931,1339.779047695,1.4669149590950759,1338.74178218,1340.81631321
DDR4-2600,4,550,123.53555876895958,0.05630558579041842,123.49589237737675,123.60000420550732,1238.5911746775,0.48154384395623306,1238.25067176,1238.931677595
DDR4-2600,4,600,122.9429978762784,0.02652402659768558,122.92053142622883,122.9722579688509,1205.0517459349999,0.46748768898157056,1204.72118222,1205.38230965
DDR4-2600,4,700,120.83551673035258,0.07862555929930419,120.75223069192354,120.90845759976845,1074.3413959225,0.057491645648955016,1074.30074319,1074.382048655
DDR4-2600,4,800,114.28735020551467,0.04824339545376364,114.23889507873945,114.3353790445363,903.0031203025001,3.8180750833271393,900.30333352,905.702907085
DDR4-2600,4,900,109.42482574287101,0.3164951636285264,109.19389722719664,109.78559227156309,729.114429495,8.480817140428366,723.117586185,735.111272805
DDR4-2600,4,1000,102.8285211830141,0.20019530631501123,102.69984308309799,103.05917205041771,615.1487310350001,3.52691185596491,612.654827745,617.642634325
DDR4-2600,4,1500,74.55818902290463,0.0639133548053236,74.48441004201152,74.59663202751327,436.65852177249997,0.20533368702301355,436.51332893,436.803714615
DDR4-2600,4,2000,57.58965370345854,0.012585563845707687,57.575249634613506,57.59852562345949,370.17713354,1.430632758608948,369.165523415,371.188743665
DDR4-2600,4,3000,39.44582617261682,0.030800553421647205,39.41074182298985,39.46841714922074,301.98263610000004,6.128827491553497,297.64890062,306.31637158
DDR4-2600,4,5000,24.12701732877768,0.05155153122782364,24.067527591287188,24.1585756808886,284.7771248575,0.013765831072447658,284.767390945,284.78685877
DDR4-2600,4,40000,3.2842362465424664,0.06706948341076081,3.208638120996818,3.336595809494701,264.58511061750005,0.13434455732495637,264.49011467,264.680106565
DDR4-2600,4,100000,1.450004025601715,0.04059579718273983,1.4041428060473877,1.4813358349744414,260.60566761,0.032274927362023566,260.58284579,260.62848943
DDR4-2600,4,500000,0.37445333170141004,0.004745114313304466,0.3689867803919357,0.3775086670276219,254.29289018,0.010583854092639759,254.285406265,254.300374095
DDR4-2600,4,1000000,0.19957211786886586,0.009659784477055554,0.18841815945901383,0.20520693293318146,260.65092651500004,0.11593475296958035,260.568948265,260.732904765
DDR4-2600,8,0,118.41992581904269,0.03937173295580584,118.38939760607859,118.46436447806384,1772.4220850225001,8.595510160857353,1766.3441415,1778.500028545
DDR4-2600,8,5,118.44419707030636,0.03255991947095175,118.40660444621018,118.4634876658031,1770.8534148775,3.7273137913872625,1768.21780602,1773.489023735
DDR4-2600,8,10,119.12884951619581,0.07044430544655758,119.05347516478683,119.19302122572864,1729.9951607025,1.4080485210865117,1728.999520045,1730.99080136
