type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_percentage_actual_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR4-3200,0,0,141.81409312725353,0.009508743291641576,141.80736943039145,141.8208168241156,0.5,527.6214675298099,0.10121037572133461,527.5499009868109,527.6930340728089,141.82207698767587,527.5096836630596
DDR4-3200,0,5,142.0551171748345,0.07686851455228838,142.00076292693484,142.10947142273417,0.5,526.2561694906432,0.44273747601819435,525.9431068190653,526.569232162221,142.00060254617335,527.3501980442994
DDR4-3200,0,10,142.0196583623629,0.10691296060089181,141.94405948292527,142.0952572418005,0.5,528.6087917549705,0.14503892533420892,528.5062337473306,528.7113497626103,142.13693664501105,527.1878154926361
DDR4-3200,0,15,142.29405391360947,0.012642705748324287,142.2851141706423,142.30299365657666,0.5,527.1261640056521,0.24477895080805334,526.953079149644,527.2992488616602,142.23592669594288,527.0232318272726
DDR4-3200,0,20,142.38976573365318,0.14702262728738802,142.2858050369104,142.49372643039595,0.5,527.0781588283496,0.06832477512353848,527.0298459165367,527.1264717401625,142.30242011072272,526.857142867412
DDR4-3200,0,25,142.32271501236818,0.032506003601799206,142.29972979679206,142.34570022794426,0.5,525.9329544719756,0.03324272120785926,525.9094483183844,525.9564606255668,142.34126430110473,526.6902444322584
DDR4-3200,0,30,142.15776720395837,0.002474743042793585,142.15601729637112,142.15951711154563,0.5,526.3065396100703,0.7529893074421222,525.7740957646171,526.8389834555237,142.35892060291008,526.4925082083482
DDR4-3200,0,35,142.5040986370854,0.04463211860416473,142.4725389633617,142.53565831080914,0.5,525.6831912837957,0.30142955237389957,525.4700484032621,525.8963341643293,142.33803489858238,526.2829648759956
DDR4-3200,0,40,142.42667652227007,0.05138939453917322,142.39033873291035,142.4630143116298,0.5,526.1761432652369,0.6511773908157291,525.7156913164357,526.636595214038,142.3304679860724,526.1948139815854
DDR4-3200,0,45,142.1857566412221,0.05748634989429039,142.14510765338616,142.226405629058,0.5,528.0475280412667,0.5487400264154415,527.6595102474798,528.4355458350535,142.35424126516176,525.8103174903403
DDR4-3200,0,50,142.3301052880981,0.1613477129924544,142.2160152261122,142.44419535008402,0.5,524.7493293880494,0.4895609556618429,524.4031575164968,525.0955012596021,142.34375496210924,525.9903302063636
DDR4-3200,0,55,142.22573676915295,0.06260255601608335,142.18147007727438,142.27000346103154,0.5,526.3595147373909,0.34386700790591984,526.1163640442743,526.6026654305075,142.3163819085426,525.9384964155449
DDR4-3200,0,60,142.54639901018527,0.07085905124802641,142.49629409453934,142.59650392583117,0.5,524.3187454007143,0.876917334428549,523.6986712069998,524.9388195944288,142.26249157424456,525.7239293997377
DDR4-3200,0,65,142.27183083273252,0.006363933935827239,142.26733085189147,142.27633081357357,0.5,525.4232171042274,1.3862429581749338,524.4429953081299,526.4034389003251,142.26129663728446,525.04995183186
DDR4-3200,0,70,142.02205036201644,0.04865732598602182,141.98764443685732,142.05645628717556,0.5,527.9776271526384,0.09197570654190568,527.9125905068382,528.0426637984386,142.23877734187442,538.5370033774586
DDR4-3200,0,80,142.21549067853968,0.05471974136378366,142.17679797835657,142.2541833787228,0.5,525.3008521475292,0.931263532089873,524.6423493889167,525.9593549061417,142.17780466661787,550.2750687975931
DDR4-3200,0,90,142.28064716264893,0.04380989996758908,142.24966888529875,142.31162543999912,0.5,525.6713447211295,0.7233991361420038,525.159824286459,526.1828651558,142.1308772616975,536.478903958997
DDR4-3200,0,100,142.22189692418607,0.10175581663415771,142.14994469621888,142.29384915215326,0.5,527.9464816152124,0.014284643383656556,527.936380847009,527.9565823834158,142.6484243165414,497.56406925546827
