--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999946594 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00,5.000097e+00
INSTR_RETIRED_ANY,FIXC0,10526018799,10503876241,10581607005,10586358568,10388351043,10444195008,10490499256,10632428101,10399228048,10384645595,10475661834,10472258948,10538000807,10544828907,10489467150,10536469453,10537375507,10632082436,10524747846,10493751507,10583044835,10607003825,10533577144,10429408449,10495443706,10498925650,10590498185,10437739274,10436633835,10368016738,10596530592,10631010702,10537502649,10488581998,10461119025,10577827889,10339807402,10489518823,10578411031,10530760894,10521404470,10507854876,10580508931,10469728906,10631244902,10474356987,10559350978,10410522695,10488336650,10602465463,10439085418,10531387214,10504366286,10500919057,0,19916,2523,0,5067,6856,729650,191778,2523,0,9042,39815,3631,266272,5075,2302354,0,9911,2530,6571,2537,2516,2516,0,2544,892088,9134,3347431,2523,68305,114957,30266,5067,2544,0,0,5060,10127,2537,2523,14640,7229,0,0,2530,5101,2523,30964,2628,5067,7208,43508,0,10628,10348,104370
CPU_CLK_UNHALTED_CORE,FIXC1,14921780109,14918985761,14920522300,14920254367,14857515069,14857180915,14861320074,14919682736,14855041184,14839376265,14856591748,14859120946,14919288373,14920238326,14862507938,14867037733,14921516064,14922236375,14856318033,14860068925,14921095374,14921400559,14921500973,14856451997,14863068306,14865290358,14921496576,14868099813,14865372015,14860380781,14918800982,14920201955,14919027721,14859090288,14859167544,14917338476,14863821574,14864039591,14917712964,14918320311,14858898498,14859246267,14919146150,14867175788,14917663446,14863285942,14918919863,14863688071,14862464979,14916344687,14865619930,14920456570,14919680452,14919597379,0,39393,3838,0,20376,12505,782822,271614,4685,0,33399,104962,20680,542551,8216,4253415,0,16975,3181,11841,3052,6508,2894,0,3141,363714,17056,2038172,3812,172069,46708,49281,6652,3584,0,0,5890,10698,2625,2515,44955,10891,0,0,2518,6485,3145,45606,4398,5745,26257,80484,0,31600,14975,297493
CPU_CLK_UNHALTED_REF,FIXC2,9959303120,9957788800,9958908000,9958409440,9916569200,9916611920,9919053280,9958377040,9915340800,9904554560,9916012720,9917973120,9958062480,9958658320,9920146160,9923094320,9959689280,9960174160,9915814880,9918458080,9959399600,9959376160,9959536000,9916202560,9920471600,9921765600,9959436880,9923886480,9921805520,9918667040,9957526640,9958510720,9957581120,9917825120,9917779680,9956679440,9921189040,9920874800,9956745360,9957142000,9917824320,9917957440,9957587760,9923239600,9956876800,9920671280,9958046560,9921002960,9920405280,9956094960,9922254080,9958779440,9958283280,9958398320,0,26240,2560,0,13600,8480,521040,181440,3200,0,22240,70160,13760,362240,5520,2839040,0,11360,2080,8000,2000,4320,1920,0,2080,242880,11360,1359440,2560,114880,31200,32880,4480,2400,0,0,3920,7040,1760,1680,30080,7360,0,0,1680,4240,2160,30480,2960,3760,17600,53760,0,21120,9920,198000
LONGEST_LAT_CACHE_MISS,PMC0,186638317,186232973,187008929,186929260,185389691,185606124,186443674,188028729,185702146,185105068,186329280,185940985,186417589,186353382,186387644,186641759,187328779,187407737,186910582,186537378,187588766,188033424,185802910,185509734,186147856,186491752,187510303,185700927,186008028,184962819,187144301,186785026,186262092,186194482,185935455,186130879,185233784,186300538,186570538,186926629,186821673,186218291,187541403,186312991,187599949,186310516,187218445,185761242,186596569,187029810,185986656,186769658,186184968,186166990,0,48,6,0,38,0,659,1126,6,0,102,27,40,1385,8,3709,0,15,0,4,5,5,7,0,4,343,56,232,3,613,39,18,7,7,0,0,4,16,3,2,53,9,0,0,3,11,3,16,25,4,63,57,0,23,12,328
CAS_COUNT_RD,MBOX0C0,1405800067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,875638591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1405782448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,875750229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1405816855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
