--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999953873 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00,5.000080e+00
INSTR_RETIRED_ANY,FIXC0,10792613236,10864441491,10681785628,10880984876,10730039914,10736774218,10753374997,10817769346,10786739221,10694016391,10876387771,10872480737,10700476982,10874397637,10778498167,10907907309,10839500638,10914610947,10905409928,10857304978,10863003152,10884981053,10781605085,10826917943,10746505264,10856670339,10755592440,10760243452,10609893011,10853947206,10881979607,10827715192,10819527520,10723655881,10682710919,10687090095,10900377219,10848322010,10854466658,10642311754,10910655783,10866540188,10801773975,10785171561,10756583828,10850518996,10814208093,10778239352,10865370254,10847310465,10722592384,10858096997,10839389062,10685125553,3563,82009126,6555,6583,11552,6842,6851,6583,1609698,219464,9325,9064,13369,6555,9050,2495,23956,6842,6814,6555,2653068,69631,11834,6842,9072,15468,5011,2153101,6555,9351,196838,7041,6814,9050,9071,9332,6814,14292,9153,38383,7514,6555,12946,6842,15934,5018,9057,6814,11059,734821,9316,9353,9085,6851,11545,6814
CPU_CLK_UNHALTED_CORE,FIXC1,14923214771,14923456113,14864846845,14922444362,14908533441,14857400178,14862372541,14909047192,14923820433,14857628530,14923948382,14922369052,14862281979,14921355521,14862428943,14926270413,14924831717,14924789868,14925289102,14924933660,14924915195,14924256934,14924516022,14925418636,14862643454,14923714201,14864326099,14870170247,14868320105,14924597239,14922128054,14922259855,14923109386,14873392230,14861760289,14864754598,14922084982,14923688031,14921906946,14867548997,14923251423,14918681702,14921208686,14868312336,14862188369,14919202358,14922726240,14867840478,14922940930,14923743099,14869027919,14923381399,14922988005,14866229131,28707,132236111,12754,14984,20810,19058,14619,14483,738612,625645,32395,16216,32003,18713,31262,12160,103314,22650,20951,16432,13531837,228934,26883,20800,24219,42378,16939,1626764,19681,19467,130474,38644,15954,16856,15883,19944,16159,46266,16830,66552,18949,14964,72574,20137,55388,32218,18435,15824,36919,1004366,18857,18453,19218,16813,27058,16330
CPU_CLK_UNHALTED_REF,FIXC2,9960899120,9961023040,9921805120,9960458960,9950988160,9917252720,9920331360,9951327680,9961332000,9917224960,9961657360,9960508080,9920105440,9959634000,9920208560,9962816800,9962034880,9961761600,9962050640,9961833520,9961847600,9961622160,9961641040,9962076000,9920497920,9961219840,9921494480,9925298160,9924016080,9961651200,9959974160,9960004080,9960424400,9927341920,9919679680,9921761120,9959806560,9960666080,9959646560,9923596720,9960899520,9957585520,9959352480,9924157120,9920151280,9958537280,9960388480,9923792480,9960793040,9961304000,9924651520,9960782480,9960504720,9922738560,19120,88258960,8480,10000,13840,12640,9760,9680,492640,417360,21680,10880,21360,12560,20880,8160,68880,14960,13840,10880,9032160,152720,18000,14000,16240,28160,11280,1085200,13040,12960,87120,25680,10720,11280,10560,13280,10800,30880,11280,44480,12720,10000,48400,13440,36960,21520,12240,10560,24640,671680,12640,12240,12800,11280,18160,10880
LONGEST_LAT_CACHE_MISS,PMC0,211781899,213823620,210858348,212962601,211444648,211396286,212427317,212275582,212521820,211149299,213397544,213307150,212037509,213593306,212906660,213968316,212858786,214014799,214643018,212773239,213417856,213552210,212285862,212354021,212009694,213256276,212617408,211768660,210974796,213267408,213484222,212510917,211746725,211964746,211115505,211691708,213261537,212756811,212603338,211332021,214042790,212914395,212635487,212483501,212586909,212726134,212900765,212769962,213033331,212840723,212311615,212325085,211676863,211472237,96,921161,2,9,14,6,2,3,381,3157,75,8,71,15,82,23,268,20,25,15,56272,1110,95,19,70,149,54,2772,17,10,311,180,15,24,16,33,13,94,10,115,28,13,178,39,140,119,10,10,59,1579,13,9,15,5,16,100
CAS_COUNT_RD,MBOX0C0,1528431236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,767552222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1528622834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,767565796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1528614382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
