--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999947938 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00,5.000099e+00
INSTR_RETIRED_ANY,FIXC0,8385025454,8475258217,8353710956,8449395587,8399250053,8424483426,8479876761,8461766205,8371222346,8433775543,8481360742,8470763153,8303717217,8398668784,8461346289,8315765341,8448387748,8428935107,8512825506,8369386894,8430151156,8448438851,8331515591,8350264364,8460456859,8474376775,8398495318,8438961652,8339738806,8377841526,8376234089,8473089394,8319002599,8493706314,8458021648,8269270412,8443099376,8405825136,8366922754,8438290266,8510819423,8501757025,8394345368,8421594525,8478282969,8410681921,8453430154,8410581427,8500546269,8435588274,8384314042,8482801522,8375107064,8295080568,6555,6814,6555,6555,5004,17238,114957,2981,6814,2510,2877421,0,0,9331,9309,9167,44079254,6814,2524,2495,9064,2502,6823,2739455,0,8667,46245,0,2495,9703,9057,5860,2502,11850,2509,2516,2156,0,16130,7506,21244,14603445,13110,0,9323,0,2502,7374,0,2509,2495,37418,0,15612,18405,93259
CPU_CLK_UNHALTED_CORE,FIXC1,14866472227,14932171319,14869701931,14929150826,14864555809,14929808465,14931176258,14930568929,14930292574,14929534770,14930534982,14930370199,14867693495,14874508613,14870053673,14865827289,14929564883,14875194682,14930515998,14869481093,14873448239,14868946114,14873448732,14870921722,14930126293,14931272782,14874205438,14931436104,14870629212,14933114308,14871940288,14932148315,14870603800,14929065006,14926990058,14875116043,14874799313,14873673206,14877545002,14928539944,14929705592,14928887885,14871814748,14928640421,14927801353,14870397927,14917863762,14929376156,14930698819,14877064981,14876698981,14891954813,14875848441,14878917912,11737,18491,12645,11120,6019,78949,52890,5371,12689,2531,4237652,0,0,18859,16248,16488,11239104,17066,3968,4319,14705,2450,15393,1632970,0,22507,121885,0,2820,29922,16283,25214,4895,23577,7860,4827,44993,0,35467,9672,36220,30578146,22952,0,16103,0,3025,11694,0,5035,4572,60098,0,25525,36615,223744
CPU_CLK_UNHALTED_REF,FIXC2,9922905520,9966798880,9924979040,9964588960,9921737120,9965237280,9965823680,9965436080,9965491920,9964878000,9965590960,9965662960,9924045840,9928299120,9925317360,9922653920,9965157200,9928763360,9965672000,9924958160,9927566000,9924510160,9927531520,9925635360,9965553280,9966183840,9928131760,9966537440,9925802240,9967466000,9926804320,9967022720,9925823760,9964798240,9963535200,9928983920,9928640800,9928057040,9930419200,9964658720,9965059440,9964814080,9926707760,9964593520,9963806240,9925669520,9957319840,9965106880,9965720400,9930035360,9929728880,9939932480,9929194240,9931429040,7840,12240,8400,7440,4080,52800,35440,3680,8400,1680,2828400,0,0,12640,10800,10880,7502160,11440,2640,2880,9920,1600,10240,1089600,0,14960,81440,0,1840,20080,10880,16960,3280,15920,5280,3200,30080,0,23760,6480,24240,20409520,15200,0,10640,0,2080,7840,0,3360,3040,40160,0,17120,24320,149280
LONGEST_LAT_CACHE_MISS,PMC0,218860677,220446819,218590478,220093921,219229824,218751449,221167507,220689514,219045088,219730963,221067748,220717071,218398456,219531331,220408091,218327412,219258104,220453689,221722706,218446751,219539678,220087418,218447692,218632956,220444514,220571735,219002976,219732351,218440152,218665928,218847146,220115247,218080788,221265497,219782642,217971491,220191949,219876449,218635573,219802035,220979181,221393348,219182592,219924363,221086063,219365020,218942422,219997587,221362270,219316065,219316590,218869510,218864736,218190421,8,88,3,1,5,348,20,8,0,2,4170,0,0,97,11,11,7110,97,4,6,7,0,93,1817,0,22,121,0,0,52,14,55,2,7,7,6,242,0,116,13,32,84664,1,0,6,0,2,7,0,4,3,55,0,9,20,173
CAS_COUNT_RD,MBOX0C0,1594764652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,714802113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1594611318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,714856332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1594929227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
