--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999930065 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00,5.000155e+00
INSTR_RETIRED_ANY,FIXC0,38106366015,38007227935,38052489298,38252680881,38290606124,38003927800,38090204155,38071007463,38043161450,38114989655,38131596783,38096451246,38405281236,38449955256,38375521186,38101005081,38040706192,37928835437,38116570987,38381665637,38069290994,38148440720,38045266137,38273441634,38365251309,38378290399,37976916555,38280924590,38036968190,38310138531,38079986474,38339456540,38324247003,38375177241,38332030934,38369966925,38284626680,38021834773,38325683975,38083587407,38366490679,38040362592,38087353986,38099306492,38293652436,38259607179,38423913216,38008179680,38096779512,38077175612,38365933059,38295914880,38364892184,38278722954,6910,0,0,23465,128949,4983,0,13110,9050,13369,13369,30622,15864,13369,47989,6814,6555,6555,0,6814,7027,118094,35755,6555,6555,6814,11538,981837,0,2495,43549125,0,9309,24966,6555,6814,1413655,6814,6555,9043,15864,13369,15864,6555,9318,6555,2495,9309,16123,0,9294,11797,3670,6555,9043,6555
CPU_CLK_UNHALTED_CORE,FIXC1,14872269098,14870480797,14871536449,14937087435,14913668711,14870084074,14867527100,14865743573,14867920073,14868177713,14876143933,14876869498,14936279981,14936989919,14937861305,14874817275,14869733890,14868994929,14880925178,14938479550,14876143274,14877840828,14876283363,14937845447,14938304208,14937481961,14883345064,14937944208,14879687353,14936106098,14874973203,14936196820,14935948187,14935302484,14936654674,14936548550,14935767177,14877223199,14936145479,14881398477,14934766478,14883339811,14874891266,14879095161,14933451663,14934243259,14934960257,14876358368,14878149055,14884341703,14936056292,14935156633,14936692307,14934254718,15162,0,0,82999,226167,6164,0,22228,14020,26051,24143,49316,26521,24686,110586,12952,11568,11403,0,12357,15749,272428,94001,11389,11588,13687,17783,622491,0,3934,7941172,0,16681,48891,11661,12544,718118,12866,12057,15885,28057,25235,27301,11892,16065,12035,3207,17129,29627,0,9490,21754,14387,12251,14723,19378
CPU_CLK_UNHALTED_REF,FIXC2,9926812640,9925840000,9926833040,9970403040,9954759840,9925797280,9924088080,9922662080,9924402800,9924646960,9929856080,9930421440,9969374720,9969753760,9970361120,9928503280,9924792720,9924435680,9932363920,9970726720,9929180240,9930400240,9929463760,9970384000,9970832080,9969906880,9933948080,9970336720,9931641200,9969387920,9928245280,9969140160,9969115280,9968824800,9969736000,9969843120,9969067280,9929895920,9969108960,9932728400,9969102480,9934344800,9929079200,9931848160,9968059520,9968692800,9969174640,9929952560,9930916160,9935088480,9969883360,9968993600,9970110640,9968490160,10080,0,0,55440,151120,4160,0,14800,9360,17520,16160,33120,17600,16560,73840,8640,7680,7600,0,8320,10400,181760,62560,7520,7680,9120,11840,415520,0,2640,5300560,0,11200,32880,7840,8480,478800,8480,8160,10640,18720,16800,18320,8000,10720,8000,2080,11520,19680,0,6320,14640,9440,8160,9840,13040
LONGEST_LAT_CACHE_MISS,PMC0,52455451,52538369,52481269,52777125,52527604,52507620,52217241,52372481,52247178,52272132,52485533,52279059,52897548,52908930,52606282,52418696,52407568,52644441,52412101,52392506,52400679,52223887,52513198,52332428,52757850,52679475,52293504,52393731,52357227,52607218,52179594,52408770,52404588,52743374,52633276,52518253,52607718,52400939,52379505,52331378,52668900,52420488,52408288,52244795,52318739,52556647,52786849,52250992,52366171,52266591,52674947,52590060,52284550,53021060,3,0,0,163,2368,15,0,0,3,85,0,54,5,1,290,5,0,0,0,0,22,601,384,0,1,1,5,127,0,5,1035,0,5,136,0,1,475,1,3,17,7,1,11,1,3,2,5,6,12,0,11,22,17,1,16,3
CAS_COUNT_RD,MBOX0C0,1100464310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,401946888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1100467256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,402029613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1100547533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
