--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------

CPU name:	Intel(R) Xeon(R) Platinum 8480+CPU name:	Intel(R) Xeon(R) Platinum 8480+

CPU type:	Intel SapphireRapids processor
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
CPU clock:	2.00 GHz
----------------------------------------------------------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.99995361 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00,5.000128e+00
INSTR_RETIRED_ANY,FIXC0,13074129394,13170253192,13011857156,13113482676,13193330279,12913015671,12862080084,13170784198,13143605803,12972436879,13138544392,12950255700,12947102858,12998677817,13070924479,12858220597,13147555596,13109009626,12971742800,13129815480,13013436731,13132435172,12798748833,12884791658,13120673971,13077393515,13136645863,12990964234,12865038633,12957239755,13130930259,13147156360,12924653124,13068807992,13125159654,12892205982,12831714977,13134294445,13037816393,12873708057,13146672878,12977319967,12881477384,12928653305,12832761435,12862496195,12825674457,13078290424,13128966775,12976671294,13070016518,13105631016,13060270827,12931947431,0,0,0,2495,129222,2488,248041,20176,9318,1238661,0,46265,13782,13194,4983,6856,6597,6856,6597,0,6856,115717,37244,13180,9323,6828,11580,3279814,3704,2495,4983,0,59329,37878,2367247,13656,11804,6828,6828,9316,13345,18701,16181,6928,339079,0,2495,9344,9351,0,3160,2488,3034,6842,6842,86903
CPU_CLK_UNHALTED_CORE,FIXC1,14935038058,14935205689,14932338917,14934959502,14932911933,14933280702,14873772635,14931939743,14934448376,14933490061,14935155691,14867630072,14933636031,14876874274,14880647125,14870110271,14934738056,14937711138,14875625557,14935017953,14879029565,14936155852,14933920668,14872669880,14935192340,14935794445,14935136021,14926497026,14877364892,14933436158,14932051963,14933695026,14876210481,14932414124,14934047608,14872896953,14870353616,14931519891,14876493690,14873352656,14932531889,14873646952,14881090785,14877183400,14878324711,14881170361,14877048667,14934760928,14934390156,14879458921,14931990422,14932877083,14932774416,14931418633,0,0,0,5641,311426,3337,543714,39019,16180,428936,0,92981,26526,23257,7329,15346,13454,12582,19659,0,15910,253306,135050,25688,17430,13270,18327,2249662,33117,3398,11614,0,94233,68492,1150566,25209,22216,12461,14561,16519,32537,83678,30632,22061,164341,0,6206,16108,16994,0,5595,3336,21318,13106,13596,226885
CPU_CLK_UNHALTED_REF,FIXC2,9968749280,9969109200,9967466480,9969025760,9967667360,9968060160,9928288800,9966882640,9968840560,9968295920,9969298960,9924278080,9967639200,9929679200,9932216880,9925402000,9968250560,9970345920,9928891040,9968483200,9931135600,9969373600,9967988480,9926927840,9968823680,9968816880,9968549680,9962743760,9930131440,9967647520,9966354800,9967511600,9929314320,9966947440,9968023360,9927372960,9925458080,9966226240,9929350800,9927431360,9967658480,9927914480,9933217520,9930618720,9931295520,9933304320,9930538800,9968990720,9968482960,9931858160,9967234240,9967520000,9967536400,9966670720,0,0,0,3760,207840,2240,362080,26080,10800,286640,0,62000,17600,15600,4880,10240,9040,8400,13120,0,10560,169040,90080,17280,11680,8800,12240,1501360,22080,2240,7760,0,62880,45680,767760,16800,14800,8320,9600,10960,21680,55760,20400,14720,109680,0,4080,10720,11360,0,3760,2240,14240,8720,9120,153200
LONGEST_LAT_CACHE_MISS,PMC0,224256558,223974840,223435310,225380736,224978491,223023570,222058648,225174717,225312897,223705698,224246536,223103264,223660226,223231228,224362968,222904119,224472780,224784910,223452271,224696143,223817405,224744998,221970539,222276756,224039333,224251391,224306377,223259651,222180341,223030500,225724743,224643922,222534300,223703554,224958187,222500419,222288560,224569123,223650085,223096835,224616108,224137049,222948244,223766674,221798943,222338194,222611199,224442924,224344985,223305635,224072128,223925540,223703814,222847794,0,0,0,13,2702,3,1477,29,9,225,0,108,2,2,5,8,84,0,0,0,7,412,507,49,4,1,17,3200,86,7,7,0,137,86,1034,31,11,3,5,3,15,112,11,47,24,0,4,10,11,0,11,4,99,2,10,208
CAS_COUNT_RD,MBOX0C0,1675399450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,641926782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1674977042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,640060598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1675615215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
