--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999954249 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00,5.000084e+00
INSTR_RETIRED_ANY,FIXC0,14149128652,14270245276,13999109673,14283194511,14230855714,14111567254,14104189718,14246404949,14336947555,14003755211,14093449901,14320247542,14039035132,14359977706,14281264592,13963790013,14124313642,14120695454,14356992285,14210697942,14141080676,14131410708,14160315384,14055698149,14099497599,14265652115,14209954087,14121732597,14059324968,14061251051,14148758966,14332047161,14125719558,14316326691,14165392690,14182936541,14091448932,14165692233,14131046292,13966857377,14203270222,14352960483,14193157685,14202057547,14108116904,14102397516,14071823475,14350231355,14166610522,14083275709,14282696165,14100441685,14262326431,14090233440,0,0,0,4627,129208,2488,305102,19952,15892,1010560,0,16478,13383,13138,11811,3808,6569,6569,6569,0,6569,109497,49574,13397,9050,6814,20048,2348929,0,2495,43575382,0,2495,26032,6555,6555,11531,6555,6555,9043,13383,18844,16137,6814,339333,6544,0,2852600,11625,0,2495,4976,0,9051,6814,6569
CPU_CLK_UNHALTED_CORE,FIXC1,14923063150,14936207358,14870370018,14934824289,14932212996,14933038184,14871159780,14932896929,14933424289,14865467131,14865223041,14932481393,14870304860,14933242977,14934358827,14873445565,14875782911,14872560992,14936391924,14936607591,14877463158,14877807545,14933048022,14877549708,14871214087,14936032441,14935443454,14874174910,14875141280,14934001912,14878783610,14934213605,14873507687,14933356445,14878799556,14931058174,14933012301,14877430338,14878159417,14880992537,14875034733,14932962393,14931608973,14879918811,14874955873,14874264733,14933744751,14934691946,14880769319,14881208170,14933056244,14882368996,14934326659,14931741445,0,0,0,39195,360211,4926,691296,42733,31015,388845,0,30994,24110,23836,23487,31685,11452,10841,11592,0,12449,277722,191653,24106,15322,13061,80119,1437435,0,3382,8379179,0,3470,48569,11611,13778,21746,12209,12186,14367,27683,50770,32285,14486,113552,17104,0,1445766,61641,0,3998,9605,0,15638,13285,23561
CPU_CLK_UNHALTED_REF,FIXC2,9960750640,9969782320,9926115360,9968938960,9967198800,9967862800,9926530080,9967521120,9968156720,9922881360,9922619920,9967584800,9925377520,9967298000,9968073280,9927622320,9928892560,9926863760,9969450160,9969545760,9930096800,9930459680,9967410080,9930189360,9926121040,9968985440,9968758240,9927823360,9928657760,9968032320,9930803920,9967850400,9927504640,9967566000,9931157760,9966215920,9967281040,9930125920,9930459360,9932515680,9929274480,9967502080,9966933440,9932451760,9929047280,9928713040,9968386880,9968955280,9932701680,9933019120,9967943120,9933799200,9968575200,9966894880,0,0,0,26000,240480,3280,461520,28400,20720,258640,0,20720,16000,15760,15760,21120,7680,7280,7760,0,8320,185440,128000,16000,10240,8640,53680,958800,0,2240,5592720,0,2320,32560,7680,9200,14480,8240,8160,9680,18400,33840,21600,9840,75840,11520,0,965200,41280,0,2640,6400,0,10400,8960,15760
LONGEST_LAT_CACHE_MISS,PMC0,222751435,224471620,222235051,225283561,225144060,223717950,223022156,224647206,223927500,222982355,222754980,224524446,222888967,223207364,224805225,222493930,223392264,223041209,224763160,223496082,224080281,223360476,224274255,222923426,223105083,224105983,223947888,222910711,222836413,222926234,223823712,225532448,223383574,224862805,224212791,224240127,223812046,223548527,223465066,222440894,223929374,224755878,223244310,223381316,224112587,222529066,223522490,224388404,223324651,223248600,223121723,223258946,223179101,223268176,0,0,0,195,2852,6,1980,80,15,308,0,33,4,3,19,73,2,0,3,0,6,295,629,0,4,0,259,220,0,5,3511,0,6,32,0,1,11,1,0,5,2,50,9,5,56,3,0,1175,163,0,5,15,0,10,2,63
CAS_COUNT_RD,MBOX0C0,1676895807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,638656607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1676337726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,640180275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1676393418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
