--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:	2.00 GHz
CPU clock:,1.999953417 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00,5.000088e+00
INSTR_RETIRED_ANY,FIXC0,19509471217,19645638465,19874755618,19695894558,19895966562,19621281021,19596611340,19635378112,19866712242,19804841043,19968631105,19771455038,19759702193,19712800386,20007176770,19807445152,19394379289,19940056787,19765228432,19854162273,19789542295,19478487313,19470780087,19772882844,19989909573,19962223548,19922416820,19648438381,19571028071,19533396738,19965174319,19414580892,19608774811,19797162415,19918238219,19722855586,19352353750,20039830183,19473498138,19390240374,19984359650,19763308341,19697531500,19531399759,19894344209,19952994255,19148283243,20008781004,20017643309,19666590522,19453861197,19723512491,19869808200,19368645235,26479,20183,344174661,18555807,65155,13826019,54339047,16681666,26226,7089964,3580928,13369,20442,13628,6814,0,20228,16123,13378,27256,13628,13369,20183,19924,9309,2495,0,6876254,43661778,1087528,4983,13811729,5558,684519,1319813,6814,6814,0,231626,0,0,472579,5558,10031,2495,0,2488,21264,2495,5295,2495,122016,4983,0,0,2291686
CPU_CLK_UNHALTED_CORE,FIXC1,14932009076,14871762274,14932906338,14931885267,14931690767,14930534535,14868711605,14868314902,14934160246,14921561318,14933244600,14865886836,14933242440,14869123667,14932953865,14875481720,14867474652,14933134900,14871077535,14931326433,14932995156,14871102527,14930298271,14930843577,14932498219,14933389324,14931535137,14875162855,14873501507,14931458703,14929109403,14871923912,14872801534,14931797654,14929849950,14930891666,14874849638,14932373326,14929194807,14871553439,14932581333,14875943957,14931164193,14873468996,14930502101,14930962873,14878400912,14932477863,14932844129,14873643063,14876992842,14871604305,14932387142,14876946846,60074,45818,112821340,11686052,292161,9919765,32610228,10483966,70283,4523323,2368577,25800,39709,26825,13796,0,47958,30867,25501,52446,24519,24278,35862,36283,18022,3053,0,5769028,11707616,1365162,8282,4964266,9220,735927,723489,13063,12720,0,225117,0,0,455977,10960,58479,4396,0,4199,36893,3334,10816,4194,321392,6170,0,0,2542344
CPU_CLK_UNHALTED_REF,FIXC2,9966648400,9926418160,9967325760,9966664400,9966693040,9965470800,9924460720,9924164800,9968294560,9959816960,9967527360,9922863360,9967196640,9924443120,9967361040,9928831200,9923284880,9967516400,9925920400,9966074720,9967391600,9925947200,9965705600,9965792800,9967168480,9967663680,9966261360,9928615600,9927685920,9966116320,9964827840,9926615040,9927520400,9966415600,9965380880,9965811920,9929019920,9966927120,9964876240,9926621440,9967125760,9929482400,9966490800,9927961680,9965810080,9965936320,9930731040,9967319840,9967174960,9928100400,9929988640,9926361840,9966999360,9929924640,40000,30560,75297680,7801280,194400,6623280,21765840,6997840,47280,3017440,1581680,17200,26640,18080,9200,0,32160,20640,16960,35040,16560,16240,23920,24080,12160,2080,0,3849680,7814560,910640,5520,3313520,6240,490480,481920,8560,8480,0,150720,0,0,304960,7360,39120,2960,0,2800,24800,2240,7120,2800,214880,4080,0,0,1698560
LONGEST_LAT_CACHE_MISS,PMC0,223072408,224153133,225099359,224731925,225775227,224738949,223918028,224180395,225476180,224043177,226676269,224676712,225009360,224752820,226107066,225308073,222742230,226316346,224982240,225540627,224869763,222742888,223578409,224075385,225867521,225879133,225555553,224318702,222917021,224003874,225618060,222231209,224231511,225461811,226098460,224826860,222635693,226524503,223350697,223789515,226870013,225167273,224869553,224240416,226140451,225855656,221432607,226789798,226514329,224444889,222904995,224493614,225211514,223171896,28,22,26095,7827,426,2393,49338,7821,181,994,138,6,9,2,0,0,23,22,1,20,10,12,17,0,15,5,0,13478,44091,5716,14,8811,32,1091,1046,1,5,0,1275,0,0,1616,19,249,8,0,14,29,6,9,9,2081,12,0,0,6489
CAS_COUNT_RD,MBOX0C0,1722206286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,599741340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1721582955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,600149584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1722222174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
