--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999948803 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00,5.000070e+00
INSTR_RETIRED_ANY,FIXC0,37162366189,37148036607,36910889357,36860536061,36923231307,37051046428,37171073370,37166732342,37175939843,36849200006,36898635100,36877146661,36899745176,37179595945,36941607214,36958290715,36860760010,36969815551,37239010956,37157606156,37221518264,36959186503,36913104775,37018214236,36821551797,36878447526,37180706490,37177999801,37068519942,37155933421,36924462286,37180850300,36899089862,37184279426,36983023761,37085723086,37183027227,36819122060,37146068553,37185291447,37249306874,37128231089,37141808424,36860050694,37177242168,37196960662,36888583436,37173210279,37180054156,36913346001,36951186155,36950090663,37165719303,36905351388,0,9309,1558179,5245,7533,7740,683281,9064,13383,38515,15619,56578,13138,6555,5905,9160,11864,6569,11559,6569,6569,6555,0,12717,9064,33162,11559,824258,6828,0,2495,18487,0,6814,9064,9064,9064,19705,9043,128963,20183,9050,13369,17730,6569,9050,1830793,17143,13383,585009,13383,9064,25507,6569,15545,9309
CPU_CLK_UNHALTED_CORE,FIXC1,14933633725,14932292519,14868934889,14861706385,14862864474,14931069024,14931779884,14932114256,14933483521,14861137428,14877219474,14864840236,14865366952,14931777150,14875976470,14868659591,14863717191,14869269573,14930493719,14931077063,14932931525,14873585399,14866575071,14868048276,14868435397,14867186372,14931454977,14931175098,14931354239,14932638900,14868630839,14930489401,14872570458,14930039702,14873676508,14930544145,14930515607,14869398965,14930119244,14929743123,14928347076,14931280969,14929590172,14876450064,14926973330,14929287756,14873272327,14929908620,14930932944,14870359658,14875201813,14872054281,14928859897,14881708613,0,16468,783492,9078,15602,14186,648573,17988,24005,79873,29454,41004,24876,11081,24781,35607,38687,14515,27324,11865,13435,11522,0,35844,15479,32239,20385,526000,14996,0,5560,65628,0,20434,15718,14625,15404,58839,18576,258661,43573,15465,25785,58234,12249,16725,827295,43810,25799,237111,24847,17099,57303,16226,42614,35929
CPU_CLK_UNHALTED_REF,FIXC2,9967331600,9966668400,9924139760,9919359280,9920300960,9965707360,9966392720,9966550000,9967506640,9919176480,9929978320,9921478160,9921932960,9966646480,9929132480,9924441680,9920837680,9924724560,9965360000,9965866960,9966981680,9927688400,9922789920,9923928640,9924100960,9923034640,9965954400,9965965280,9966055600,9966959600,9924321440,9965394160,9926926000,9965137840,9927649760,9965599440,9965461440,9924466960,9965371520,9965037600,9964252880,9966017040,9964713600,9929822960,9963342560,9964783920,9927515760,9965212640,9966085280,9925537360,9928734640,9926589360,9964408160,9933068320,0,10960,523040,5920,10480,9680,435440,11920,16000,53520,19680,27360,16400,7360,16560,23760,25920,9600,18240,7920,9040,7680,0,24080,10320,21440,13680,351120,10080,0,3760,44000,0,13760,10480,9840,10400,39200,12400,172560,29360,10320,17120,38880,8160,11120,552240,29120,17120,157920,16800,11280,38320,10880,28480,23920
LONGEST_LAT_CACHE_MISS,PMC0,65847470,65830005,65390441,65243779,65552543,66458062,65833715,65668548,65995860,65665908,65348507,65504294,66303292,65845192,65472339,66381509,65647925,65481239,66067298,65493932,65257564,65572567,66294019,65508422,65353460,65640439,65623502,65793946,65890456,66649414,65496792,65585846,65576321,65401667,65575568,66380841,65644087,65476277,65589637,66244522,65737884,65986899,65660259,66339476,65626213,65701828,66330490,65915364,65733931,65428166,65616530,65601828,65625462,66260337,0,9,417,5,15,21,528,60,13,125,8,17,2,1,86,46,61,10,85,6,4,2,0,53,29,18,99,95,15,0,12,136,0,3,10,14,9,170,12,2866,30,15,6,182,7,8,373,85,7,164,2,12,63,52,142,59
CAS_COUNT_RD,MBOX0C0,1324928332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,415426154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1324814102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,415465338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1325142526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
