--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999930345 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00,5.000152e+00
INSTR_RETIRED_ANY,FIXC0,40542832925,40940697764,40606750249,40607027112,40574905707,40894480751,40544154953,40877805977,40611810246,40579087362,40610221616,40633919351,40536314572,40624760518,40933864156,40969606800,40636972897,40591555650,40880983105,40993798244,40890899887,40841492733,40869971105,40606194470,40853398606,40929832373,40680495767,40815702049,40672719080,40649798129,40893864891,40644632030,40854358194,40867686208,40891717743,40673377447,40884972521,40929687475,40869574258,40522586884,40587722194,40834335248,40667880463,40911033041,40767267251,40552454148,40840490459,40665240647,40594648821,40813139295,40609339898,40852090617,40600089856,40558918966,25082,9309,25056,28489,2495,13350,110693,9057,176225,6910,51434,62137,76183,19093,67409,31116,57528,2516,123100,2509,76520,1490977,67863,44111845,53218,68439,71743,11560,39205,807555,36572,68690,72337,66672,15878,18100,33911,35425,34955,19665,31942,35307,41926,34590,38726,13110,33946,13110,35032,11559,32602,15883,41874,27605,35026,2502
CPU_CLK_UNHALTED_CORE,FIXC1,14873965559,14942823768,14871372555,14873834912,14877981178,14944031466,14875730981,14943472196,14875843489,14878045409,14868494550,14875433442,14875372377,14876005073,14942647046,14941036913,14875215993,14876417819,14942583760,14942376712,14943912036,14942449658,14941940025,14872709116,14941809168,14942962360,14876527606,14941487621,14885616648,14880886060,14942225209,14881385532,14941361364,14942807075,14942877663,14876540452,14942497311,14940581613,14942572235,14878373678,14878046185,14940973614,14887925955,14942402283,14942621713,14884217795,14942701706,14889365152,14885955781,14943257223,14887452375,14942906752,14890130632,14884028550,91463,16348,80134,82820,3141,30211,209523,25585,219775,14347,139041,161548,270135,45579,157616,115411,142834,3534,256937,3118,182000,992770,177861,11337706,159991,171888,187944,18553,122830,641981,125829,165860,173455,174070,30111,31345,112160,104350,107077,34126,77582,122109,104839,97811,107599,23541,102339,24411,91735,17067,94992,32941,94518,90315,111341,15584
CPU_CLK_UNHALTED_REF,FIXC2,9927831760,9973950640,9926276080,9927830560,9930393680,9974603120,9929122480,9974160000,9929127360,9930619120,9924375760,9928829840,9928882720,9929251680,9973899200,9972866960,9928538080,9929594080,9973722160,9973230400,9974703600,9973684400,9973344720,9927109920,9973449680,9973953920,9929454400,9972848640,9935821920,9932165360,9973392720,9932695840,9972873200,9973870960,9973992320,9929590320,9973529120,9972602720,9973436960,9930777040,9930833200,9972684960,9937242800,9973465120,9973695520,9934641040,9973579440,9938093440,9935755920,9973901200,9937175120,9973848800,9938566000,9934577200,61200,10880,53440,55600,2160,20240,139600,17040,146400,9600,93040,108400,180800,30160,104640,77120,96240,2320,171680,2080,122000,663120,118480,7568320,106320,114640,125920,12320,81920,428960,84240,110480,116160,116560,20080,20880,74720,69840,71280,22720,51520,81520,70000,65040,72000,15680,68240,16240,60960,11280,63440,22000,63200,60480,74160,10400
LONGEST_LAT_CACHE_MISS,PMC0,53826211,54193335,53652489,54073749,53917004,54049555,53805382,54184421,53967986,53791624,53757597,54300164,54276679,54254799,54517501,54588431,54124007,54258634,54013644,54429610,54220643,54179517,54015776,53759636,54453148,54455339,53907685,54033657,53537358,53729603,54162501,54225285,53919371,54597415,54501433,53846102,54365725,54290687,54397210,53750453,53909172,54389515,53956680,54505858,54276951,53842144,53955636,53941821,54188333,54231337,53880101,54037652,53832945,53998724,5,5,33,21,4,59,297,68,581,2,351,289,856,4,249,303,342,1,590,4,464,2028,411,23654,404,176,392,4,97,678,279,235,115,311,44,17,379,47,116,3,60,48,93,47,29,5,23,2,33,7,22,133,33,17,226,34
CAS_COUNT_RD,MBOX0C0,952931785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,167632649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,952823116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,167405626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,952652799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
