--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999954922 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00,5.000134e+00
INSTR_RETIRED_ANY,FIXC0,1308498369,1305991889,1298163844,1319003564,1268195290,1311276720,1317659885,1317090730,1295756417,1308967397,1297843146,1299274062,1283289994,1297271494,1329279896,1306363024,1278075528,1305795947,1310008359,1284995054,1297543385,1320420691,1262780839,1288727086,1294255173,1299791450,1310807795,1283183796,1291234685,1279942643,1316961998,1292607864,1295974068,1297214858,1314825515,1299162943,1289980656,1300787078,1280586710,1288354912,1303554973,1314156835,1295350770,1308240520,1306889293,1294305643,1276847177,1320962779,1313311908,1300390363,1297962195,1307408948,1286413060,1283976867,143269,0,345416,413171,532462,0,561402,0,248097,0,349743,701604,6612,2502,0,0,0,0,0,6555,2502,0,0,0,9072,0,0,0,877408,778035,2317673,1334910,1047447,5004,4271290,543314,1101405,342169,400000,883312,7733,20969,2581693,99284763,694914,3507809,411552,480256,5004,299635,427894,2495,1128879,742315,2096228,80167
CPU_CLK_UNHALTED_CORE,FIXC1,14872777311,14867709950,14938669008,14875548850,14937244335,14869987194,14869625886,14877761339,14876495139,14869387734,14938081794,14936716289,14937053555,14936279638,14875907975,14939510127,14939462230,14937700012,14937914411,14937656353,14939414457,14876442851,14939323896,14937873772,14939627077,14936321353,14880669906,14937147656,14873511399,14879619700,14877936171,14935085897,14872841724,14937429440,14872297635,14880151861,14873984899,14934957364,14933202232,14879287476,14921998652,14882116915,14935180214,14937343395,14937808463,14935239320,14936652033,14885278458,14877288985,14881649976,14936922369,14881843745,14935490837,14879048973,603089,0,6092425,6506939,6023358,0,4255233,0,8856922,0,8761638,8677405,46178,3458,0,0,0,0,0,15515,3290,0,0,0,23551,0,0,0,9606084,10271047,10651813,12438606,10052002,22358,14143115,10531542,10877636,7222961,3930892,10576807,11626,52480,9756334,49936363,10107448,11606872,4449237,9442847,10537,7825032,8067617,7370,12076797,10742723,8758210,214431
CPU_CLK_UNHALTED_REF,FIXC2,9927117920,9923597200,9971016800,9928812000,9969944160,9925468720,9925041840,9929973920,9929570000,9924877120,9970878320,9969579280,9970131760,9969238960,9929338160,9971463360,9971626320,9970407280,9970429680,9970377760,9971238480,9929224320,9971568160,9970484080,9971527760,9969278080,9932249360,9970216160,9927618160,9931825840,9930458960,9968628640,9927052160,9970036080,9926710400,9932169760,9927942400,9968459200,9967480080,9931798160,9960117040,9933542720,9968847680,9970166480,9970145680,9969071920,9969830000,9935416720,9930156640,9933087200,9969988720,9933119360,9968913920,9931432240,402400,0,4066480,4343040,4020640,0,2840160,0,5911600,0,5847760,5791840,30880,2320,0,0,0,0,0,10320,2240,0,0,0,15760,0,0,0,6411520,6855440,7110080,8302320,6709280,14880,9440800,7029360,7260320,4820880,2623840,7059600,7840,35040,6512640,33330800,6746320,7747920,2969680,6302640,6960,5223120,5384880,4880,8061200,7170240,5845760,139120
LONGEST_LAT_CACHE_MISS,PMC0,246601013,245422767,247493100,246332103,245864643,245977466,247333743,247126559,246660308,245567065,247869168,248561937,247213006,247418756,247997157,247021716,246095413,248453837,246018449,246312741,247632759,247488706,246216108,246284794,247572367,245423626,246065555,246932667,245197519,245279612,246561468,247123119,245208935,246923196,246538398,245990538,246665874,247721443,245487828,246203238,247845922,246345598,246185435,246629359,248674908,244755587,247099221,246821400,247076950,246647012,247026398,246284020,245856520,245605771,140,0,782,815,1028,0,833,0,653,0,1452,1582,158,2,0,0,0,0,0,107,2,0,0,0,68,0,0,0,4884,3347,11227,5376,4420,47,10424,2396,5953,907,548,3356,6,280,3348,57544,3312,11144,528,1710,24,932,1044,53,3911,2875,15572,319
CAS_COUNT_RD,MBOX0C0,1977781423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,335010550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1978125431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,335168924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1977884088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
